temp,oxygen,water,length
medium,medium,high,13.0
medium,medium,high,13.5
medium,medium,high,8.4
medium,medium,high,10.3
medium,medium,high,12.5
medium,medium,high,15.6
medium,medium,high,0.0
medium,medium,high,0.0
medium,medium,high,0.0
medium,medium,high,0.0
medium,medium,medium,9.4
medium,medium,medium,7.6
medium,medium,medium,8.7
medium,medium,medium,8.6
medium,medium,medium,11.5
medium,medium,medium,13.3
medium,medium,medium,11.9
medium,medium,medium,0.0
medium,medium,medium,0.0
medium,medium,medium,0.0
medium,medium,low,12.4
medium,medium,low,11.1
medium,medium,low,10.4
medium,medium,low,14.8
medium,medium,low,15.3
medium,medium,low,15.0
medium,medium,low,13.4
medium,medium,low,9.5
medium,medium,low,11.8
medium,medium,low,0.0
medium,low,high,8.4
medium,low,high,6.6
medium,low,high,10.6
medium,low,high,10.3
medium,low,high,10.1
medium,low,high,0.0
medium,low,high,0.0
medium,low,high,0.0
medium,low,high,0.0
medium,low,high,0.0
medium,low,medium,14.8
medium,low,medium,11.0
medium,low,medium,13.8
medium,low,medium,13.9
medium,low,medium,11.3
medium,low,medium,19.9
medium,low,medium,6.2
medium,low,medium,6.1
medium,low,medium,14.7
medium,low,medium,16.4
medium,low,low,12.6
medium,low,low,13.3
medium,low,low,14.4
medium,low,low,13.9
medium,low,low,4.0
medium,low,low,13.9
medium,low,low,13.5
medium,low,low,13.6
medium,low,low,17.7
medium,low,low,0.0
low,high,high,0.0
low,high,high,0.0
low,high,high,0.0
low,high,high,0.0
low,high,high,0.0
low,high,high,0.0
low,high,high,0.0
low,high,high,0.0
low,high,high,0.0
low,high,high,0.0
low,high,medium,0.0
low,high,medium,0.0
low,high,medium,0.0
low,high,medium,0.0
low,high,medium,0.0
low,high,medium,0.0
low,high,medium,0.0
low,high,medium,0.0
low,high,medium,0.0
low,high,medium,0.0
low,high,low,0.0
low,high,low,0.0
low,high,low,0.0
low,high,low,0.0
low,high,low,0.0
low,high,low,0.0
low,high,low,0.0
low,high,low,0.0
low,high,low,0.0
low,high,low,0.0
low,medium,high,0.0
low,medium,high,0.0
low,medium,high,0.0
low,medium,high,0.0
low,medium,high,0.0
low,medium,high,0.0
low,medium,high,0.0
low,medium,high,0.0
low,medium,high,0.0
low,medium,high,0.0
low,medium,medium,0.0
low,medium,medium,0.0
low,medium,medium,0.0
low,medium,medium,0.0
low,medium,medium,0.0
low,medium,medium,0.0
low,medium,medium,0.0
low,medium,medium,0.0
low,medium,medium,0.0
low,medium,medium,0.0
low,medium,low,0.0
low,medium,low,0.0
low,medium,low,0.0
low,medium,low,0.0
low,medium,low,0.0
low,medium,low,0.0
low,medium,low,0.0
low,medium,low,0.0
low,medium,low,0.0
low,medium,low,0.0
low,low,high,0.0
low,low,high,0.0
low,low,high,0.0
low,low,high,0.0
low,low,high,0.0
low,low,high,0.0
low,low,high,0.0
low,low,high,0.0
low,low,high,0.0
low,low,high,0.0
low,low,medium,0.0
low,low,medium,0.0
low,low,medium,0.0
low,low,medium,0.0
low,low,medium,0.0
low,low,medium,0.0
low,low,medium,0.0
low,low,medium,0.0
low,low,medium,0.0
low,low,medium,0.0
low,low,low,0.0
low,low,low,0.0
low,low,low,0.0
low,low,low,0.0
low,low,low,0.0
low,low,low,0.0
low,low,low,0.0
low,low,low,0.0
low,low,low,0.0
low,low,low,0.0
